date,open,high,low,close,vol(btc)
05/13/17 06:00 AM,1709.3,1714,1668.4,1678.92,701.3
05/13/17 04:00 AM,1643.74,1713.26,1627.36,1705.81,793.32
05/13/17 02:00 AM,1637.91,1655.18,1601.46,1642.22,1838.29
05/13/17 12:00 AM,1690.33,1700.97,1621.21,1637.97,2175.49
05/12/17 10:00 PM,1715.01,1729.82,1683,1691.51,1246.98
05/12/17 08:00 PM,1679.99,1719,1675.24,1719,2244
05/12/17 06:00 PM,1757.31,1757.31,1650,1680,3255.35
05/12/17 04:00 PM,1751.98,1766,1745.2,1757.37,1150.49
05/12/17 02:00 PM,1761.2,1781.6,1751.38,1751.38,972.33
05/12/17 12:00 PM,1806.1,1814.97,1761,1761.69,1632.06
05/12/17 10:00 AM,1822.48,1826,1802.74,1810.84,588.01
05/12/17 08:00 AM,1781.99,1825.25,1775.59,1825.25,1489.47
05/12/17 06:00 AM,1768.53,1800,1768.52,1781.99,1060.6
05/12/17 04:00 AM,1796.17,1796.29,1733,1768.54,1830.15
05/12/17 02:00 AM,1825.72,1825.72,1763,1795.6,1122.07
05/12/17 12:00 AM,1830.85,1832,1816.07,1824.99,471.34
05/11/17 10:00 PM,1830.57,1837.63,1820.99,1828.45,405.54
05/11/17 08:00 PM,1836.11,1840.07,1792,1830.64,2427.19
05/11/17 06:00 PM,1856,1857.59,1823.22,1836.09,1023.06
05/11/17 04:00 PM,1861,1868,1848.33,1856,846.36
05/11/17 02:00 PM,1849.99,1861.53,1844,1861,1031.21
05/11/17 12:00 PM,1861.97,1863.3,1835.2,1849.98,964.91
05/11/17 10:00 AM,1874.97,1875,1807.25,1861.96,1714.91
05/11/17 08:00 AM,1851,1892,1835.72,1874.97,2007.51
05/11/17 06:00 AM,1822.92,1880,1802.02,1851.44,1391.63
05/11/17 04:00 AM,1769.11,1824,1769.11,1822.95,2012.64
05/11/17 02:00 AM,1760.04,1771.99,1752.01,1769.11,328.93
05/11/17 12:00 AM,1774.52,1774.52,1745.01,1762.98,586.32
